QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20151223_013328	珠を置いてくる
QUEST_LV_0100_20151223_013329	はい、デルムーア荘園で
QUEST_LV_0100_20151223_013330	手伝うから、どんな情報が必要なのか尋ねる
QUEST_LV_0100_20151223_013331	それほどの実力は無い
QUEST_LV_0100_20151223_013332	手に入れた情報を伝えています
QUEST_LV_0100_20151223_013333	残念だけどどうしようもない
QUEST_LV_0100_20151223_013334	他の用事で忙しい
QUEST_LV_0100_20151223_013335	モンスターを退治するついでに探してみる
QUEST_LV_0100_20151223_013336	一度使った物は諦めた方がいい
QUEST_LV_0100_20151223_013337	他の啓示者たちが方法を見つけると思う
QUEST_LV_0100_20151223_013338	もう疲れた
QUEST_LV_0100_20151223_013339	今度は信じられない
QUEST_LV_0100_20151223_013340	クルビナと啓示者
QUEST_LV_0100_20151223_013341	しばらく待ってほしい
QUEST_LV_0100_20151223_013342	任せて
QUEST_LV_0100_20151223_013343	できるだけ周辺に物を積んだ方がいい
QUEST_LV_0100_20151223_013344	周辺の魔族を退治する
QUEST_LV_0100_20151223_013345	手伝う余裕が無い
QUEST_LV_0100_20151223_013346	申し訳ない気持ち
QUEST_LV_0100_20151223_013347	故郷の秘訣
QUEST_LV_0100_20151223_013348	他の用事で忙しい
QUEST_LV_0100_20151223_013349	デルムーア城主追撃(1)
QUEST_LV_0100_20151223_013350	急いで追おう
QUEST_LV_0100_20151223_013351	デルムーア城主追撃(2)
QUEST_LV_0100_20151223_013352	執拗な結界
QUEST_LV_0100_20151223_013353	急いで行こう
QUEST_LV_0100_20151223_013354	少し休もう
QUEST_LV_0100_20151223_013355	官庁の廃墟へ
QUEST_LV_0100_20151223_013356	急いで出発しよう
QUEST_LV_0100_20151223_013357	少し休んでから行こう
QUEST_LV_0100_20151223_013358	シャーマンドールと恩人
QUEST_LV_0100_20151223_013359	袋小路に追い込め(1)
QUEST_LV_0100_20151223_013360	心配しないで休んで
QUEST_LV_0100_20151223_013361	袋小路に追い込め(2)
QUEST_LV_0100_20151223_013362	彼らを労って
QUEST_LV_0100_20151223_013363	これは始まりに過ぎない
QUEST_LV_0100_20151223_013364	そうだね
QUEST_LV_0100_20151223_013365	二度と同じことが無いように
QUEST_LV_0100_20151223_013366	仕方ないですね
QUEST_LV_0100_20151223_013367	もう他へ行く時が来た
QUEST_LV_0100_20151223_013368	後始末は任せた
QUEST_LV_0100_20151223_013369	すぐに集めて来る
QUEST_LV_0100_20151223_013370	あえて何かをする必要はなさそうだ
QUEST_LV_0100_20151223_013371	近くの街に助けを求められない理由について
QUEST_LV_0100_20151223_013372	周辺に助けを求められない理由について
QUEST_LV_0100_20151223_013373	そんなことを解決できる力は無い
QUEST_LV_0100_20151223_013374	調査中
QUEST_LV_0100_20151223_013375	村長を探してみる
QUEST_LV_0100_20151223_013376	これ以上トラブルを起こすのを見ていられない
QUEST_LV_0100_20151223_013377	日誌を読んで
QUEST_LV_0100_20151223_013378	後で読んで
QUEST_LV_0100_20151223_013379	少しおかしいけど、とりあえず手伝う
QUEST_LV_0100_20151223_013380	女神はそんなことをしない
QUEST_LV_0100_20151223_013381	疑わしいけど、行って来る
QUEST_LV_0100_20151223_013382	どう考えても違うと思う
QUEST_LV_0100_20151223_013383	行く用は無い
QUEST_LV_0100_20151223_013384	それくらいなら手伝う
QUEST_LV_0100_20151223_013385	そんな余裕は無い
QUEST_LV_0100_20151223_013386	日誌の内容を伝えています
QUEST_LV_0100_20151223_013387	まだその時ではない
QUEST_LV_0100_20151223_013388	一緒に考えてみる
QUEST_LV_0100_20151223_013389	方法を見つけたら教えて
QUEST_LV_0100_20151223_013390	ヒドラについて話しています
QUEST_LV_0100_20151223_013391	罠ができるまで待つ
QUEST_LV_0100_20151223_013392	ヒドラを倒しに行く
QUEST_LV_0100_20151223_013393	飲み水じゃないってば
QUEST_LV_0100_20151223_013394	そんな余裕はなさそうだ
QUEST_LV_0100_20151223_013395	手伝いましょう
QUEST_LV_0100_20151223_013396	危険なので我慢して
QUEST_LV_0100_20151223_013397	やっぱり我慢した方がいい
QUEST_LV_0100_20151223_013398	試験に必要な材料が揃いました。どんな試験なのか、リンカーサブマスターと話してみてください。
QUEST_LV_0100_20151223_013399	リンカーサブマスターは、もし資質があるならばターネット聖堂1階の裏世界を見つけられるはず、と言われました。裏世界に入ってそこにある本を見つけ、リンカーサブマスターに届けてください。
QUEST_LV_0100_20151223_013400	リンカーサブマスターに本を届ける
QUEST_LV_0100_20151223_013401	裏世界で本を見つけました。{nl}リンカーサブマスターに本を届けてください。
QUEST_LV_0100_20151223_013402	クレリックマスターに渡す寄付金がまだ足りないようです。1,000シルバーを用意してください。
QUEST_LV_0100_20151223_013403	クレリックマスターに渡す寄付金1,000シルバーが準備できました。クラペダのクレリックに寄付金を渡してください。
QUEST_LV_0100_20151223_013404	クォレルシューターマスターが欲しがっている本はハンターマスターが持っています。ハンターマスターから本を購入するために1,000シルバーを用意してください。
QUEST_LV_0100_20151223_013405	本の代金が貯まりました。ハンターマスターから1,000シルバーで本を購入し、クォレルシューターマスターに届けてください。
QUEST_LV_0100_20151223_013406	アーチャーマスターが欲しがっている本はハンターマスターが持っています。ハンターマスターから本を購入するために1,000シルバーを用意してください。
QUEST_LV_0100_20151223_013407	本の代金が貯まりました。ハンターマスターから1,000シルバーで本を購入し、アーチャーマスターに届けてください。
QUEST_LV_0100_20151223_013408	レンジャーマスターが欲しがっている本はハンターマスターが持っています。ハンターマスターから本を購入するために、1,000シルバーを用意してください。
QUEST_LV_0100_20151223_013409	クラペダにいるホプライトサブマスターのところに行ってください。
QUEST_LV_0100_20151223_013410	ホプライトサブマスターは、愛情を注いで研いだ槍は自負心そのものなのだと言いました。槍系の装備を6段階に強化してください。槍系ならばどんな武器でも構いません。
QUEST_LV_0100_20151223_013411	ホプライトサブマスターに結果報告
QUEST_LV_0100_20151223_013412	槍系の装備を6段階に強化しました。{nl}ホプライトサブマスターに見せてください。
QUEST_LV_0100_20151223_013413	シャウレイ鉱山の村にいるサイコキノサブマスターと話してみてください。
QUEST_LV_0100_20151223_013414	サイコキノサブマスターから、真の才能を発揮できるよう手伝う代わりに魔族のエキスを手に入れてほしいと言われました。関門路にいるミノタウロスとチャッパーリションを退治して魔族のエキスを入手してください。
QUEST_LV_0100_20151223_013415	サイコキノサブマスターにエキスを届ける
QUEST_LV_0100_20151223_013416	2つの魔族のエキスを手に入れました。サイコキノサブマスターに魔族のエキスを届けてください。
QUEST_LV_0100_20151223_013417	シャウレイ鉱山の村にいるリンカーサブマスターと話してみてください。
QUEST_LV_0100_20151223_013418	リンカーサブマスターと対決
QUEST_LV_0100_20151223_013419	リンカーサブマスターから、対決によりマナの質を確かめると言われました。リンカーサブマスターと対決して勝利してください。
QUEST_LV_0100_20151223_013420	リンカーサブマスターとの対決のお陰でマナの質が良くなったようです。リンカーサブマスターと話してみてください。
QUEST_LV_0100_20151223_013421	ポイズンシューターサブマスターと話す
QUEST_LV_0100_20151223_013422	大王の関門にいるポイズンシューターサブマスターと話してください。
QUEST_LV_0100_20151223_013423	ポイズンシューターサブマスターと対決
QUEST_LV_0100_20151223_013424	ポイズンシューターサブマスターは、戦闘において卑怯であっても生き残った方が真の勝者だと言います。ポイズンシューターサブマスターと対決してください。
QUEST_LV_0100_20151223_013425	ポイズンシューターサブマスターとの対決で勝利しました。ポイズンシューターサブマスターともう一度話してみてください。
QUEST_LV_0100_20151223_013426	ロデレロサブマスターと話す
QUEST_LV_0100_20151223_013427	大王の関門にいるロデレロマサブスターと会話してください。
QUEST_LV_0100_20151223_013428	ロデレロサブマスターから、4段階に強化された盾を持って来るように言われました。盾系装備を強化してロデレロサブマスターに認めてもらいましょう。
QUEST_LV_0100_20151223_013429	ロデレロサブマスターに報告
QUEST_LV_0100_20151223_013430	盾系の装備を4段階に強化しました。{nl}ロデレロサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013431	エレメンタリストサブマスターと話す
QUEST_LV_0100_20151223_013432	アクメンスの尾根にいるエレメンタリストサブマスターと話してください。
QUEST_LV_0100_20151223_013433	エレメンタリストサブマスターの課題遂行
QUEST_LV_0100_20151223_013434	エレメンタリストサブマスターに課題提出
QUEST_LV_0100_20151223_013435	エレメンタリストサマスターの課題を遂行しました。{nl}エレメンタリストサマスターに課題の材料を届けてください。
QUEST_LV_0100_20151223_013436	カタフラクトサブマスターと話す
QUEST_LV_0100_20151223_013437	大王の関門にいるカタフラクトサブマスターと話してください。
QUEST_LV_0100_20151223_013438	ビビエタ渓谷にいるスパルナスマンを退治して、カタフラクトサブマスターに実力を証明しましょう。
QUEST_LV_0100_20151223_013439	カタフラクトサブマスターに報告
QUEST_LV_0100_20151223_013440	スパルナスマンを退治しました。{nl}カタフラクトサブマスターに報告してください。
QUEST_LV_0100_20151223_013441	スパルナスマン退治
QUEST_LV_0100_20151223_013442	ボウクトロンを王陵キューブ付近で退治し、吸収
QUEST_LV_0100_20151223_013443	将校の霊魂は木の棒を組んで人の形に仕上げたいようです。オールドケッピーからカサカサと音を立てる皮を集めてきましょう。
QUEST_LV_0100_20151223_013444	トドウを追ってきたモンスター退治
QUEST_LV_0100_20151223_013445	アーチャーマスターは、あなたが自分の指導を受ける資格があるか確認しようとしています。水晶鉱山1階のバットたちからバットの翼を集めてきてください。
QUEST_LV_0100_20151223_013446	番人リケに言われた通りパントトーテムを燃やすと、味方のパントが指示に従うようになり、パントたちがビッグジャベリンパントを退治しました。このことを番人リケに伝えましょう。
QUEST_LV_0100_20151223_013447	ヴィンセントは面倒だから自分の仕事を代われと言います。とりあえず偽造品を完成させましょう。鋳型の中で偽造品が完成すると、鋳型がボウッと青く光ります。
QUEST_LV_0100_20151223_013448	赤い気確認
QUEST_LV_0100_20151223_013449	アシャーク地下監獄3階に不吉な感じのする赤い気が見えます。調べてみましょう。
QUEST_LV_0100_20151223_013450	ケルベロス退治
QUEST_LV_0100_20151223_013451	赤い気がケルベロスを呼びました！鉄窓を破って現れたケルベロスを退治してください。
QUEST_LV_0100_20151223_013452	バスティティス平原を調べて来る
QUEST_LV_0100_20151223_013453	マルダスは、この辺りは魔族だらけなので逃げろと言います。何があったのか、バスティティス平原の方を確認してみてください。
QUEST_LV_0100_20151223_013454	モンスターがフクロウの彫像を使って光の玉をどこかへ送ろうとしているのを見ました。マルダスに何か知らないか尋ねてみましょう。
QUEST_LV_0100_20151223_013455	フクロウの彫像がどこかへ送っていた光の玉を見たことがあるか、マルダスに尋ねてみましょう
QUEST_LV_0100_20151223_013456	光の玉を追って骨風の絶壁へ移動
QUEST_LV_0100_20151223_013457	光の玉は丘の上にいるフクロウの彫像のところへ送られました。回り道をして骨風の絶壁の方へ追って行ってください。
QUEST_LV_0100_20151223_013458	カロリスの祭壇の水晶回収
QUEST_LV_0100_20151223_013459	魔族に支配されている他のフクロウの彫像たちを救うには、カロリスの森の気を蘇らせなければなりません。そのためには魔族が壊したカロリスの祭壇を修復する必要があります。導くフクロウの意志を使ってカロリスの祭壇の水晶を探してください。
QUEST_LV_0100_20151223_013460	森の聖地の力を拡散するには周辺にあるカロリスの光を全部灯さなければなりません。カロリスの光は四か所すべてを灯さなければ維持できずに消えてしまうので、急ぎましょう。
QUEST_LV_0100_20151223_013461	デュオクルィ殿堂の精神支配の塔を破壊
QUEST_LV_0100_20151223_013462	フクロウの彫像たちの力でデュオクルィ殿堂にある精神支配の塔を破壊しましょう。
QUEST_LV_0100_20151223_013463	隊長フクロウの彫像の横にマルダスが来ていました。何を話していたのか聞いてみましょう。
QUEST_LV_0100_20151223_013464	レータス小川にいる道しるべのフクロウの彫像を救うために、カロリスの泉の気が一番強く集まっているカロリスの揺り籠へ行ってカロリスの泉の気を集めてください。
QUEST_LV_0100_20151223_013465	レータス小川にいる道しるべのフクロウの彫像を探す
QUEST_LV_0100_20151223_013466	隊長フクロウの彫像はカロリスの泉の気を集めて、レータス小川にいる道しるべのフクロウの彫像に届けてほしいと言います。道しるべのフクロウの彫像を探してみましょう。
QUEST_LV_0100_20151223_013467	隊長フクロウの彫像は魔族に対抗するためにレータスの神聖な木の枝が必要だと言います。カロリスの泉の気が集まった結晶を使ってレータスの神聖な木を探し、木の枝を手に入れてください。
QUEST_LV_0100_20151223_013468	マルダスが隊長フクロウの彫像と悩んだ末に解決方法を思いついたようです。マルダスの話を聞きましょう。
QUEST_LV_0100_20151223_013469	森を汚染する魔気を除去
QUEST_LV_0100_20151223_013470	マルダスは森を汚染している魔気を先に除去しなければならないと言います。魔気周辺に抑制のナムトを設置して魔気を除去してください。
QUEST_LV_0100_20151223_013471	魔気をすべて除去しました。{nl}マルダスに報告してください。
QUEST_LV_0100_20151223_013472	魔気をすべて除去しました。{nl}次に何をすれば良いのか、マルダスと話してみましょう。
QUEST_LV_0100_20151223_013473	監視球管理の魔法陣を除去
QUEST_LV_0100_20151223_013474	マルダスは森の気を吸い取っている黒い気がある場所へ行くには、監視球管理魔法陣を除去しなければならないと言います。監視球を避けて潜入し、監視球管理の魔法陣を除去してください。
QUEST_LV_0100_20151223_013475	黒い気を除去
QUEST_LV_0100_20151223_013476	セビニー庭園の三又の道の先で森の気を吸い取っている黒い気を除去してください。
QUEST_LV_0100_20151223_013477	黒い気を除去しました。{nl}マルダスに報告してください。
QUEST_LV_0100_20151223_013478	吸魂門を守る保護魔法陣を全部解除
QUEST_LV_0100_20151223_013479	マルダスは吸魂門を守る保護魔法陣を解除しなければならないと言います。5個の魔法陣は順番に解除しないと全部が再活性化してしまいます。魔法陣を操作して正しい順序を導き出してから、順番通りに解除してください。
QUEST_LV_0100_20151223_013480	吸魂門を守る保護魔法陣を解除
QUEST_LV_0100_20151223_013481	抑制のナムトで吸魂門破壊
QUEST_LV_0100_20151223_013482	察知して現れた魔族も退治しました。{nl}抑制のナムトの力で吸魂門を破壊してください。
QUEST_LV_0100_20151223_013483	周辺のモンスターを退治して閉ざされた箱に魔力を供給
QUEST_LV_0100_20151223_013484	箱は謎の力で閉ざされています。{nl}箱周辺のモンスターを倒し、箱に魔力を満たしてください。
QUEST_LV_0100_20151223_013485	重ね橋の森のモンスターを退治しました。{nl}ウィザードサブマスターに報告してください。
QUEST_LV_0100_20151223_013486	炎の気を宿した玉と一緒にモンスター退治
QUEST_LV_0100_20151223_013487	パイロマンサーサブマスターは炎の気との相性を見ようとしています。 パイロマンサーサブマスターの魔法にかかった状態でモンスターを退治してください。
QUEST_LV_0100_20151223_013488	モンスターを退治しました。炎との相性がどうだったのか、パイロマンサーサブマスターに聞いてみましょう。
QUEST_LV_0100_20151223_013489	モンスターを退治して魔力の氷の欠片に魔力充填
QUEST_LV_0100_20151223_013490	クリオマンサーサブマスターは、クリオマンサーになるには魔力に冷気の素質がなければならないと言います。あなたの魔力を確認するために、解けない魔力の氷の欠片に魔力を満たしてください。
QUEST_LV_0100_20151223_013491	氷欠片を解かさずに魔力を満たしました。クリオマンサーサブマスターのところに戻ってください。
QUEST_LV_0100_20151223_013492	アーチャーサブマスターは遠距離から正確に敵を射るのが大事だと言います。遠距離からモンスターを攻撃して正確に命中させてください。
QUEST_LV_0100_20151223_013493	これならアーチャーサブマスターも満足するでしょう。アーチャーサブマスターに報告してください。
QUEST_LV_0100_20151223_013494	レンジャーサブマスターは多数の敵と戦うのがレンジャーの重要な特徴だと言います。モンスターを退治してから10秒以内に次のモンスターを退治してください。
QUEST_LV_0100_20151223_013495	これならレンジャーサブマスターに認めてもらえそうです。レンジャーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013496	弩系装備強化1段階達成
QUEST_LV_0100_20151223_013497	クォレルシューターサブマスターは武器の重要性について語っています。1段階以上強化された弩を手に入れてください。
QUEST_LV_0100_20151223_013498	1段階以上強化された弩を手に入れました。クォレルシューターサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013499	オルシャにいる全てのウィザード系マスターたちのアドバイスを聞きました。ウィザードサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013500	凝縮された火炎石の周辺にいるモンスター退治
QUEST_LV_0100_20151223_013501	炎の気がさらに強まったのを感じます。パイロマンサーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013502	クロノマンサーサブマスターは冷気の扱いにもっと慣れなければならないと言います。冷気の魔法書を使って氷属性への抵抗力がアップしたモンスターを退治してください。
QUEST_LV_0100_20151223_013503	もう十分に修練したようです。クリオマンサーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013504	サイコキノスクロールを使ってモンスターを吹き飛ばす
QUEST_LV_0100_20151223_013505	サイコキノマスターは難しい説明よりも、サイコキノの力を操る方法を空で感じた方が修練になると言います。サイコキノスクロールを使ってモンスターを吹き飛ばしてください。
QUEST_LV_0100_20151223_013506	サイコキノの魔法がどんな感じなのか、よく分かりました。サイコキノマスターに報告しましょう。
QUEST_LV_0100_20151223_013507	リンカーマスターによると、リンカーの魔法は対象の連結点を探すことから始まるそうです。モンスターを攻撃していれば分かる時がくるらしいので、モンスターを攻撃して連結点を探してみましょう。
QUEST_LV_0100_20151223_013508	一瞬でしたが、連結点が見えた気がします。{nl}リンカーマスターに報告しましょう。
QUEST_LV_0100_20151223_013509	これで試験を全部終えました。{nl}アーチャーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013510	城壁修復用の石材を集める
QUEST_LV_0100_20151223_013511	レンジャーサブマスターはレンジャーたちがオルシャ復旧作業に参加して人々を助けることを望んでいます。カルーの森にある丈夫な石材から城壁修復用の石材を集めてください。
QUEST_LV_0100_20151223_013512	これだけあれば足りそうです。{nl}レンジャーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013513	植物型モンスターからべたつく植物のエキス獲得
QUEST_LV_0100_20151223_013514	クォレルシューターマスターから、城壁修復用の石材をくっつける材料を集めてほしいと頼まれました。植物型モンスターを退治してべたつく植物のエキスを集めてください。強い植物型モンスターほどべたつく植物のエキスを獲得できる確率が高くなります。
QUEST_LV_0100_20151223_013515	べたつく植物のエキスを集めました。クォレルシューターサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013516	硬い研究用の石材を集める
QUEST_LV_0100_20151223_013517	サッパーサブマスターは新しいサッパーのスキルを研究しているそうです。カルーの森へ行って硬い研究用の石材を探してください。
QUEST_LV_0100_20151223_013518	堅い石材を集めました。{nl}サッパーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013519	これならハンターサブマスターも満足するはずです。{nl}ハンターサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013520	火属性のモンスターを退治しました。{nl}パイロマンサーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013521	これで試験を完遂したようです。{nl}クリオマンサーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013522	サイコキノマスターは状況判断能力を試そうとしています。魔力感知球を使ってから魔力感知球の感知範囲内にいるモンスターを退治してください。
QUEST_LV_0100_20151223_013523	これならサイコキノマスターも満足するはずです。{nl}サイコキノマスターに報告しましょう。
QUEST_LV_0100_20151223_013524	モンスターを退治して霊的な気を集める
QUEST_LV_0100_20151223_013525	リンカーマスターはマナの他にも霊魂をつなげる方法を研究しているそうです。リンカーマスターの研究を手伝うために、モンスターを退治して霊魂のフラスコに霊的な気を集めてください。
QUEST_LV_0100_20151223_013526	霊的な気でフラスコを満たしました。{nl}リンカーマスターに報告しましょう。
QUEST_LV_0100_20151223_013527	全種類のモンスターを退治しました。{nl}ソーマタージュサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013528	カーライルの霊廟にいるネクロヴェンター退治
QUEST_LV_0100_20151223_013529	レンジャーサブマスターは実力を確認したいそうです。カーライルの霊廟にいるネクロヴェンターを退治して実力を証明してください。
QUEST_LV_0100_20151223_013530	ネクロヴェンターを退治しました。{nl}レンジャーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013531	盾系装備強化5段階達成
QUEST_LV_0100_20151223_013532	クォレルシューターサブマスターは、盾も扱うクォレルシューターは良い盾を持っていなければならないと言います。クォレルシューターマスターに言われた通り、5段階以上に強化された盾を手に入れてください。
QUEST_LV_0100_20151223_013533	5段階以上強化された盾を手に入れました。{nl}クォレルシューターサブマスターに盾を見せましょう。
QUEST_LV_0100_20151223_013534	デルムーア外郭のモンスターから火薬を集める
QUEST_LV_0100_20151223_013535	サッパーサブマスターはさらに強力な爆弾を作ってサッパーのスキルを向上させようとしています。デルムーア外郭にいるモンスターを退治してさらに強力な爆弾を作る研究に必要な火薬を集めてください。 
QUEST_LV_0100_20151223_013536	火薬を集めました。{nl}サッパーサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013537	モンスターを退治して%s収集
QUEST_LV_0100_20151223_013538	ハンターサブマスターはハンターの試験を準備しておいたそうです。デルムーア小作村、デルムーア荘園、デルムーア外郭に一つずつあるハンター試験用の箱からハンターの試練の証を見つけてください。
QUEST_LV_0100_20151223_013539	ハンターサブマスターの試練の証を全部見つけました。{nl}ハンターサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013540	モンスターに屍毒瓶を使って屍毒を採取
QUEST_LV_0100_20151223_013541	ポイズンシューターマスターは、ポイズンシューターになるには毒を集めることから始めなければならないと言います。カーライルの霊廟にいるモンスターにポイズンシューターの屍毒瓶を使って屍毒を集めてください。
QUEST_LV_0100_20151223_013542	屍毒瓶を満たしました。{nl}ポイズンシューターマスターに報告しましょう。
QUEST_LV_0100_20151223_013543	スカウトサブマスターはスカウトの重要な素質として素早い身のこなしが必要だと言います。モンスターからダメージを受けずに攻撃を続けてください。モンスターからダメージを受けると、最初からやり直しです。
QUEST_LV_0100_20151223_013544	これなら十分に実力を証明できたはずです。{nl}スカウトサブマスターに報告しましょう。
QUEST_LV_0100_20151223_013545	オルシャにいるソードマンサブマスターと話してください。
QUEST_LV_0100_20151223_013546	特性を習得してからソードマンサブマスターと話してください。
QUEST_LV_0100_20151223_013547	オルシャにいるウィザードサブマスターと話してください。
QUEST_LV_0100_20151223_013548	特性を習得してからウィザードサブマスターと話してください。
QUEST_LV_0100_20151223_013549	オルシャにいるアーチャーサブマスターと話してください。
QUEST_LV_0100_20151223_013550	特性を習得してからアーチャーサブマスターと話してください。
QUEST_LV_0100_20151223_013551	オルシャにいるクレリックサブマスターと話してください。
QUEST_LV_0100_20151223_013552	特性を習得してからクレリックサブマスターと話してください。
QUEST_LV_0100_20151223_013553	ホラチウスがくれた毒壺を地面に置いて毒を集めてください。 壺周辺にモンスターがいる時だけ毒が集まります。
QUEST_LV_0100_20151223_013554	触れていないのに、柱が崩れてしまいました。柱を修理しなければならないので、周辺のデザートチュチュから粘性のある液体を集めて来ましょう。
QUEST_LV_0100_20151223_013555	デザートチュチュから%s収集
QUEST_LV_0100_20151223_013556	ゲダスは取り込み中とのことで、聞く耳を持ってくれません。周辺のティッケンからゲダスの研究資料を取り返してください。（研究資料を大量に持っているティッケンはスペースキーで確認できるようです。）
QUEST_LV_0100_20151223_013557	よく燃える粉を集める
QUEST_LV_0100_20151223_013558	ゲダスはアルビナスの正体を調べるために仲間を送り込むそうです。仲間が危険な状態に陥った時に備えて炎弾を用意しなければならないので、その材料を集めてほしいと頼まれました。モンスターから炎弾の材料となるよく燃える粉を集めてください。
QUEST_LV_0100_20151223_013559	よく燃える粉を集めました。{nl}ゲダスに報告しましょう。
QUEST_LV_0100_20151223_013560	よく燃える粉収集
QUEST_LV_0100_20151223_013561	真相の調査について、ゲダスに尋ねてみましょう。
QUEST_LV_0100_20151223_013562	メリッサを訪ねる
QUEST_LV_0100_20151223_013563	メリッサに会ってください。
QUEST_LV_0100_20151223_013564	メリッサから、ゴアナール森の道で失くした聖物の回収を依頼されました。行く途中のモンスターも退治しましょう。
QUEST_LV_0100_20151223_013565	メリッサに届ける
QUEST_LV_0100_20151223_013566	モンスターを退治して聖物も無事回収しました。{nl}メリッサに届けてください。
QUEST_LV_0100_20151223_013567	メリッサと話す
QUEST_LV_0100_20151223_013568	メリッサに手伝うことは無いか尋ねてください。
QUEST_LV_0100_20151223_013569	商団の物資を取り戻しました。{nl}メリッサにこれが何なのか尋ねてみましょう。
QUEST_LV_0100_20151223_013570	インフロバークを退治して%s回収
QUEST_LV_0100_20151223_013571	インフロバークを退治して湿った紙の切れ端回収
QUEST_LV_0100_20151223_013572	メリッサがくれた探知機でユルカス平原一帯を調べてください。マップに表示された場所の中で探知機を使うと方向が分かります。
QUEST_LV_0100_20151223_013573	メリッサに報告
QUEST_LV_0100_20151223_013574	探知機のおかげで商品の物資を見つけました。{nl}メリッサに届けてください。
QUEST_LV_0100_20151223_013575	インフロバークの体液を集める
QUEST_LV_0100_20151223_013576	教育資料を作るには特別なインクが必要です。マルゼリユスがくれた罠をドロズの空き地に仕掛け、インフロバークを捕獲してから体液を抜いてください。
QUEST_LV_0100_20151223_013577	クラペダ市長の霊魂を攻撃しようとする者たちを退治
QUEST_LV_0100_20151223_013578	行商人たちを助けに薬草師の小屋へ移動
QUEST_LV_0100_20151223_013579	行商人バラスは仲間たちが薬草師の小屋付近に隠れていると言います。バラスの仲間たちが魔族に捕まる前に助けてください。
QUEST_LV_0100_20151223_013580	行商人ロゼと話す
QUEST_LV_0100_20151223_013581	行商人バラスの仲間であるロゼを発見しました。何があったのか聞いてみましょう。
QUEST_LV_0100_20151223_013582	行商人を襲う魔族退治
QUEST_LV_0100_20151223_013583	ロゼの仲間たち
QUEST_LV_0100_20151223_013584	行商人ロゼは助けてくれたことに感謝しています。行商人ロゼともっと話してみてください。
QUEST_LV_0100_20151223_013585	ラッシュにスタミナ錠をあげる
QUEST_LV_0100_20151223_013586	ロゼはラッシュを使ってはぐれた仲間を探したいようですが、ラッシュはとても疲れています。ラッシュにスタミナ錠をあげてください。
QUEST_LV_0100_20151223_013587	スタミナ錠をロゼに渡しました。ラッシュは元気になるでしょうか？
QUEST_LV_0100_20151223_013588	ラッシュがスタミナ錠を食べて元気になったようです。はぐれた行商人たちを探すためにロゼともう一度話してみてください。
QUEST_LV_0100_20151223_013589	ラッシュと一緒にはぐれた行商人を探す
QUEST_LV_0100_20151223_013590	ラッシュに行商人たち服の匂いを嗅がせて行商人を探させてください。行商人たちを見つけたら、彼らにロゼの居場所を教えましょう。
QUEST_LV_0100_20151223_013591	最後の行商人を探す
QUEST_LV_0100_20151223_013592	行商人を3人見つけました。ラッシュと一緒に最後の一人を探してください。
QUEST_LV_0100_20151223_013593	行商人カシヤスと話す
QUEST_LV_0100_20151223_013594	行商人ロゼに頼まれた4人の行商人たちを見つけました。行商人カシヤスともっと話してみてください。
QUEST_LV_0100_20151223_013595	襲いかかる魔族退治
QUEST_LV_0100_20151223_013596	行商人カシヤスが戻ろうとすると、魔族たちが攻撃して来ました。攻撃してくる魔族を全部退治してください。
QUEST_LV_0100_20151223_013597	行商人ロゼに報告
QUEST_LV_0100_20151223_013598	襲いかかる魔族を退治したので、カシヤスも安全に薬草師の小屋へ戻ったようです。薬草師の小屋へ行って行商人ロゼと話してみてください。
QUEST_LV_0100_20151223_013599	行商人アンドレスと話す
QUEST_LV_0100_20151223_013600	行商人アンドレスはどこか落ち着きが無いようです。行商人アンドレスと話してみてください。
QUEST_LV_0100_20151223_013601	失くした荷物を探す
QUEST_LV_0100_20151223_013602	行商人アンドレスは全財産を投資した商品を失くしてしまったようです。ドーレの休憩所でアンドレスの荷物を探してください。
QUEST_LV_0100_20151223_013603	行商人アンドレスに届ける
QUEST_LV_0100_20151223_013604	行商人アンドレスの荷物を見つけました。{nl}行商人アンドレスに届けてください。
QUEST_LV_0100_20151223_013605	行商人ゴメスと話す
QUEST_LV_0100_20151223_013606	不安に震える行商人ゴメスと話してください。
QUEST_LV_0100_20151223_013607	薬草師の小屋の周辺にいるモンスター退治
