QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員
QUEST_LV_0200_20151014_009283	いくらホーバークが足掻いたところで、ここは収監所内。{nl}私たちの目からホーバークは絶対に逃げられません。
QUEST_LV_0200_20151014_009284	この黄昏の星の分光球があればホーバークをすぐに発見できるはずです。{nl}ホーバークが諦めて逃げようとしたら、私が何とかして阻止します。 {nl}
QUEST_LV_0200_20151014_009285	ホーバークを完全に止めることはできないでしょうが…{nl}あなたが来るまでの時間稼ぎはできるでしょう。
QUEST_LV_0200_20151014_009286	ホーバークが諦めて逃げようとしたら、私が何とかして阻止します。{nl}
QUEST_LV_0200_20151014_009287	ホーバークを完全に止めることはできないでしょうが…{nl}あなたが来るまでの時間稼ぎはできるでしょう。
QUEST_LV_0200_20151014_009288	幸い私の方に来ることはなく、我々が思った通りに動いてくれています。{nl}きっと捕まえられます。あなたの力さえあれば。
QUEST_LV_0200_20151014_009289	成功です！{nl}ホーバークに考えがあるなら、シギタを攻撃するために時間を無駄にすることはないでしょう。{nl}必ずそうであることを願います。
QUEST_LV_0200_20151014_009290	この先は一本道しかありません。{nl}ホーバークを捕まえる絶好のチャンスです。{nl}
QUEST_LV_0200_20151014_009291	あなたはガルティンの個室までホーバークを追い込んでください。{nl}反対側ではクポル シギタがホーバークの退路を塞いでくれます。{nl}
QUEST_LV_0200_20151014_009292	完璧です。{nl}ホーバークは私を見ると慌ててガルティンの個室へ逃げましたから。{nl}
QUEST_LV_0200_20151014_009293	今のホーバークなら私一人くらい簡単に殺せるでしょうに…{nl}すぐあなたに捕まると思ったのでしょうね。 {nl}
QUEST_LV_0200_20151014_009294	しかしこの先は行き止まりです。{nl}ホーバークを捕まえる準備ができたら声をかけてください。
QUEST_LV_0200_20151014_009295	お疲れ様でした。{nl}封印されたホーバークと力は私たちがヴァカリネ様のところへ持って行きます。{nl}
QUEST_LV_0200_20151014_009296	ヴァカリネ様は他のクポルたちと共に転移の隙間を閉じる準備をしています。{nl}あなたのことを首を長くして待っておられるので、早く収監所 第5区域に行ってください。
QUEST_LV_0200_20151014_009297	ヴァカリネ様は反対なさるかもしれませんが、見せしめを示す必要があります。{nl}フラデティ交差路で魔族の歯を集めて来てくれませんか？
QUEST_LV_0200_20151014_009298	ありがとうございます。{nl}ヴァカリネ様にはご内密にお願いします。
QUEST_LV_0200_20151014_009299	救済者よ。{nl}ホーバークを阻止してくださり、心から感謝いたします。{nl}あなたのおかげで転移の隙間を閉じるホーバークの霊魂と還元の鎖を取り戻すことができました。{nl}
QUEST_LV_0200_20151014_009300	ホーバークの境遇についてはどうか同情などなさらぬよう…。{nl}引き裂かれた彼の運命は実に哀れですが、それも魔族の宿命です。{nl}
QUEST_LV_0200_20151014_009301	さあ、では最終段階…転移の隙間を閉じる時が来ました。{nl}あなたのおかげで何の力もなかった我々が収監所の大きな災いを防ぐことができました。{nl}
QUEST_LV_0200_20151014_009302	転移の隙間を封鎖する儀式を行いますので、しっかりと準備をしてください。
QUEST_LV_0200_20151014_009303	封印されたホーバークの霊魂に魔族の力を加えて強化するつもりです。{nl}
QUEST_LV_0200_20151014_009304	あなたに黄昏の星のルーンを差し上げますが、本来それは私の力が必要だったもの…。{nl}つまりまだ完全な状態ではありません。{nl}
QUEST_LV_0200_20151014_009305	アウシュラ礼拝所の魔族を倒し、転移の痕跡を集めてください。{nl}これで足りない私の力を補い、黄昏の星のルーンを完全な状態にするのです。
QUEST_LV_0200_20151014_009306	あなたのおかげで黄昏の星のルーンを完成させることができました。{nl}受け取ってください。黄昏の星のルーンで魔族の霊魂を集めるのです。{nl}{nl}
QUEST_LV_0200_20151014_009307	あなたはランキーネ分離区、イシシュラ崩壊区、エットメスタ隔離区域に行ってください。{nl}そこの魔族に黄昏の星のルーンの力をかけて制圧したら、クポルたちをお送りします。{nl}
QUEST_LV_0200_20151014_009308	そうすれば彼女たちが転移の隙間を塞ぐのに必要な霊魂を回収します。{nl}{nl}
QUEST_LV_0200_20151014_009309	ここは本来であれば人間が足を踏み入れてはいけない場所です。{nl}しかし、ヴァカリネ様が特別に啓示者様の出入りを許可されました。
QUEST_LV_0200_20151014_009310	ヴァカリネ様が早く回復するといいのですが…。{nl}ただでさえお辛いのに、ヌアエーレとの戦闘でかなり力が衰えました。
QUEST_LV_0200_20151014_009311	この収監所は女神アウシュリネが作られました。{nl}ヴァカリネ様は定期的にここに来られて管理をされています。
QUEST_LV_0200_20151014_009312	哀れなディオニス…。重荷を背負わせてしまって本当にすまない…。
QUEST_LV_0200_20151014_009313	収監所にいる魔族たちを全員監視することはできませんでした。{nl}そのため、彼らの力が発現しないように封印の証を刻んだのです。
QUEST_LV_0200_20151014_009314	あなたのおかげでホーバークの霊魂は転移の隙間に耐えられるほど強力になりました。{nl}還元の鎖も準備できました。{nl}
QUEST_LV_0200_20151014_009315	では、転移の隙間を閉じます。
QUEST_LV_0200_20151014_009316	今から私とクポルたちは転移の隙間を封鎖することに全神経を集中させます。{nl}一度きりのチャンス…今回失敗したら次はないでしょう。{nl}
QUEST_LV_0200_20151014_009317	言い換えると、魔族たちにとっては最後の反撃のチャンスです。{nl}あなたは転移の隙間の封鎖を終えるまで彼らの攻撃を防いでください。{nl}{nl}
QUEST_LV_0200_20151014_009318	ここに根を下ろした災いはすべて収束しました。{nl}救済者よ。この成功はあなた無くしてはあり得ないものです。{nl}
QUEST_LV_0200_20151014_009319	これらはすべて、我々の傲慢から始まったことです。{nl}ライマが我々に苦難の時が来るだろうと警告した時…{nl}自分の能力を過信していてその言葉の意味が理解できませんでした。{nl}
QUEST_LV_0200_20151014_009320	しかし今はあなたの聖なる気が私にすべてを語ってくれています。{nl}我々ではなく、あなたの力がこの世界を救えるのだと。{nl}
QUEST_LV_0200_20151014_009321	私は今、何のお役にも立てない立場です。{nl}ですがここに残って救済の日まで自分にできることを精一杯するつもりです。{nl}
QUEST_LV_0200_20151014_009322	あともう一つ。{nl}ここに刻まれた転移の隙間は世界のあちこちに刻まれています。{nl}その中で最も危険な場所はダイナ養蜂地。{nl}
QUEST_LV_0200_20151014_009323	私の姉妹であるアウステヤが一人で苦しい戦いを強いられているはずです。{nl}どうか私にしてくれたように、彼女の力となってあげてください。
QUEST_LV_0200_20151014_009324	ディオニスが回復さえすれば、ヴァカリネ様の負担も軽減されると思います。
QUEST_LV_0200_20151014_009325	ありがとうございます。{nl}ディオニスが無事回復したら、すべてあなたのおかげです。
QUEST_LV_0200_20151014_009326	あなたがガバラ孤立区の転移の隙間を塞いでくれませんか？
QUEST_LV_0200_20151014_009327	ちょっと待って。{nl}カリス騎士団は重要なものはすべて要塞の奥深くにあると言ってた。{nl}
QUEST_LV_0200_20151014_009328	あたいが探すにしろあんたが探すにしろ、おそらくもっと奥へ行かないと作業を{nl}始められないってことだね。{nl}とりあえずこのモノクルで前哨区域を確認してみるよ。{nl}
QUEST_LV_0200_20151014_009329	…特に変わったことはないみたいだ。{nl}その代わり王国軍警備兵がわんさかいるけどね。
QUEST_LV_0200_20151014_009330	奥に入るには王国軍警備兵が多すぎる。
QUEST_LV_0200_20151014_009331	王国軍をおびき寄せないと侵入できないだろうな。{nl}うーん…。{nl}
QUEST_LV_0200_20151014_009332	そうだ、爆音弾があった！
QUEST_LV_0200_20151014_009333	爆音弾は破壊力は弱いけど、ものすごい音を出すんだ。{nl}これをあちこちで爆発させれば王国軍は音のした方に動くはずだよ。{nl}
QUEST_LV_0200_20151014_009334	今手持ちの爆音弾はないけど、材料さえあれば十分に作れる。{nl}材料は雷草と爆弾さ。{nl}
QUEST_LV_0200_20151014_009335	とりあえず爆弾についてはあたいが調べるから、手に入れやすい雷草はあんたに任せるよ。{nl}王国軍に見つからないように気をつけな。{nl}
QUEST_LV_0200_20151014_009336	雷草を集め終わったら、上層通路の下で会おう。
QUEST_LV_0200_20151014_009337	王国軍が見回りしてるから常に気をつけな。{nl}見つかったらボコボコにされるよ。
QUEST_LV_0200_20151014_009338	見つからずによくもまぁ持ってこれたね。{nl}ごめんごめん、これは熱くなるとものすごい音を出すんだ。
QUEST_LV_0200_20151014_009339	さぁ、盗掘団っぽい仕事をしてみるかい？{nl}王国軍警備兵たちが爆弾をどっさり持ってるのを見たんだ。{nl}何が言いたいのか分かるよね？{nl}
QUEST_LV_0200_20151014_009340	いやいや、あたいたちは残虐な集団ってわけじゃない。{nl}女神のもとに送ろうだなんて思っちゃいないさ。{nl}
QUEST_LV_0200_20151014_009341	ただ気絶させて爆弾を持ってくるんだ。{nl}できるね？
QUEST_LV_0200_20151014_009342	あたいは爆音弾を作る準備をするよ。{nl}いいかい？気絶だけさせて爆弾を持ってくるんだ。分かったね？
QUEST_LV_0200_20151014_009343	もし王国軍に捕まってもあたいの話はしないでくれよ。
QUEST_LV_0200_20151014_009344	よし。まさかバレちゃいないよな？{nl}爆音弾を作るからちょっと待ってな。{nl}これさえうまく行けばあたいたちも奥に入れるよ。
QUEST_LV_0200_20151014_009345	爆音弾が完成した。{nl}これさえうまく爆発すれば、王国軍警備兵たちは音のした方に動くはず。{nl}その隙を狙ってあたいたちは奥に入るんだ。
QUEST_LV_0200_20151014_009346	はいよ、これが爆音弾だ。急いで作ったから安定性は保証できない。{nl}これを上層通路と集結地の南側に設置しな。
QUEST_LV_0200_20151014_009347	爆音弾の安定性は保証できないから気をつけるんだよ。
QUEST_LV_0200_20151014_009348	全部設置した？{nl}爆発するまで待とう。
QUEST_LV_0200_20151014_009349	そろそろ爆発する頃合いだね。{nl}ものすごい音がするから耳を塞いでおきな。
QUEST_LV_0200_20151014_009350	ぐずぐずしてる時間はない。行くよ！
QUEST_LV_0200_20151014_009351	ふぅ…。{nl}王国軍もここまでは追ってこないよね？{nl}
QUEST_LV_0200_20151014_009352	あたいたちの探してるものが奥にあることを祈ろう。{nl}先に行ってな。対立の訓練場で会おう！
QUEST_LV_0200_20151014_009353	侵入者…ですが…助けていただきましたので目をつぶりましょう。ご助力感謝しています。{nl}
QUEST_LV_0200_20151014_009354	爆発音のせいでモンスターたちが大暴れしました。{nl}もう少しで全滅するところでした。
QUEST_LV_0200_20151014_009355	原則的にはあなたたちは王命により処罰を受けなければなりません。{nl}しかし命を助けてくれたうえに、多くの仲間たちがはぐれてしまったので…{nl}
QUEST_LV_0200_20151014_009356	あなたたちの処罰より仲間の安全が優先されます。{nl}駐屯地奪還に力を貸してくだされば目をつぶりますよ。
QUEST_LV_0200_20151014_009357	まず、はぐれた仲間たちを助けなければなりません。{nl}
QUEST_LV_0200_20151014_009358	もしあなたに逃げられたとしたら我々が困るので、兵士一人を同行させていただきます。{nl}それから、あなたの仲間は残っていただきますよ。{nl}
QUEST_LV_0200_20151014_009359	絶対におかしな真似はしないでくださいね。
QUEST_LV_0200_20151014_009360	仲間たちが集まったら我々の駐屯地を奪還するつもりです。{nl}モンスターは元々多かったですが、こんなに暴れるのは初めて見ました。
QUEST_LV_0200_20151014_009361	仲間たちを助けてくれたのはありがたいのですが、まだ駐屯地を奪還したわけではありません。{nl}
QUEST_LV_0200_20151014_009362	我々にもう少し力を貸していただきましょう。{nl}これは要請ではなく命令です。
QUEST_LV_0200_20151014_009363	ここは王国で秘密裏に守られている場所です。{nl}我々も王国から選出された人員のみで構成されています。{nl}
QUEST_LV_0200_20151014_009364	我々は駐屯地を奪還して二度と陥落しないように守るつもりです。{nl}そうしてこそモンスターやあなたたちのような侵入者を防げますから。{nl}
QUEST_LV_0200_20151014_009365	とりあえず予備で使う武器と防具が必要です。{nl}
QUEST_LV_0200_20151014_009366	混戦中に落としてきた装備がかなりあるはずです。{nl}仲間たちの手当てをしている間に装備を回収してください。
QUEST_LV_0200_20151014_009367	我々にも名誉があります。{nl}仲間たちの犠牲を無駄にしないために駐屯地を取り戻すつもりです。
QUEST_LV_0200_20151014_009368	装備を回収してきてくださり、ありがとうございます。{nl}こちらも駐屯地を奪還する準備が整いました。
QUEST_LV_0200_20151014_009369	さあ、では出陣します。{nl}怖いなら一番後ろから付いて来る、でもいいですよ。行きましょう！
QUEST_LV_0200_20151014_009370	我々の駐屯地でモンスターたちが陣を敷いています。{nl}手強い奴らですので気をつけてください。{nl}
QUEST_LV_0200_20151014_009371	さあ、では行きましょう！
QUEST_LV_0200_20151014_009372	感服しましたよ。{nl}ものすごい実力ですね。{nl}
QUEST_LV_0200_20151014_009373	しかし我々も奇襲さえなければ駐屯地を簡単に奪われることはなかったでしょう。{nl}
QUEST_LV_0200_20151014_009374	駐屯地を奪還したとは言え、安堵してばかりもいられません。{nl}いつまたモンスターたちが襲撃してくるか分かりませんから。{nl}
QUEST_LV_0200_20151014_009375	しかし仲間たちがあまりにも疲弊しています。{nl}ですので駐屯地の再整備まではもう少し手伝っていただけると助かります。
QUEST_LV_0200_20151014_009376	バリケードを建てるだけの簡単な仕事です。{nl}貧弱ではありますが、少しの間でもモンスターを足止めできれば助かるのです。{nl}
QUEST_LV_0200_20151014_009377	補給箱に木材が入っていますので、それでバリケードを立ててください。
QUEST_LV_0200_20151014_009378	先ほども話しましたが、大地の要塞に長居させるわけにはいきません。{nl}助けてくれたお礼に無断侵入は目をつぶりますので早く出ていってください。{nl}
QUEST_LV_0200_20151014_009379	居座り続けるならば、我々も王命を執行するしかありません。
QUEST_LV_0200_20151014_009380	人が死に、土に還ってしまえばどんな扱いをされるかなど誰にも分からん。{nl}かつて世界を支配した土であってもだ。{nl}
QUEST_LV_0200_20151014_009381	あんたも今この瞬間は死なずに済んでいるようだが…。
QUEST_LV_0200_20151014_009384	もう魔族は誰も信じることができぬ…。
QUEST_LV_0200_20151014_009386	司祭様方はいつも祭壇の世話ばかりで、我々住民の生活には全く関心がない。{nl}これといった対策も立てず祭壇に祈ってばかりなんだよ。{nl}だから俺たちが何とかしようと動き出したんだ。
QUEST_LV_0200_20151014_009387	むやみに啓示を狙おうとした罪の代価を払うことになるでしょう。{nl}もちろんメイバーン様の4番目の鍵も持ってきていただきます。
QUEST_LV_0200_20151014_009388	単なる象徴なのか、それとも何かしらの力が込められているのか、一度詳しく調べる必要がありますね。{nl}まず、放置されたブドウ畑でリザードマンの皮を集めて来てください。
QUEST_LV_0200_20151014_009389	最近は水晶鉱山の村で似た少女を見たと聞きましたが。{nl}おかしなことに全くしゃべれなかったそうです。
QUEST_LV_0200_20151014_009390	リザードマンは神樹の日以来、大量に発生したモンスターです。{nl}この苗木に何らかの力が宿っているのなら、その皮に反応するはずです。
QUEST_LV_0200_20151014_009391	啓示者様、これはすごいですよ！{nl}モンスターの皮に苗木の力を吹き込んだら、すぐに砕けてしまいました。
QUEST_LV_0200_20151014_009392	どうか助けてください。{nl}こんなものを育てるなんて…きっとすぐに全部ダメになってしまいます。
QUEST_LV_0200_20151014_009393	あんたは王国の連絡官…ではないな。{nl}ここは軍事地域だ。だが今は支援を切実に求めている。{nl}
QUEST_LV_0200_20151014_009394	ここまで上がってきたということは、あんたは平凡な人間じゃないってことだ。 {nl}王国を救う道だと思って我々に少しだけ力を貸してくれないか？
QUEST_LV_0200_20151014_009395	ありがとう。{nl}まずこの地域について説明しておこう。{nl}
QUEST_LV_0200_20151014_009396	ここはルクリスが反乱を起こしたときに造られた要衝の地だ。{nl}彼らの進軍を阻止するために当時の宰相だったエミネントが考案したんだ。{nl}
QUEST_LV_0200_20151014_009397	今はモンスターや魔族たちを阻止するために使われている。{nl}だが神樹の日以来、王国からは何の補給も指示も来ない。{nl}
QUEST_LV_0200_20151014_009398	だからと言って王国に身を置いた者として任務を放り出すわけにはいかない。{nl}とにかく、我々の任務は有事の際にここを丸ごと塞ぐ魔法陣を守ることでな。{nl}
QUEST_LV_0200_20151014_009399	それを補修するために派遣した部下から連絡が途絶えたのだが、捜索する人手がなくて{nl}困っていたんだ。{nl}名前はヒックス。どうか彼を見つけてくれ。
QUEST_LV_0200_20151014_009400	部隊長に言われて来た方ですか？{nl}ああっ、助かった！
QUEST_LV_0200_20151014_009401	おそらくウドリンガルの空き地の辺りではないかと思う。{nl}今日みたい吹雪の日にケガでもして身動きが取れないのではないかと思うと気が気でない。
QUEST_LV_0200_20151014_009402	任務の途中、モンスターに襲撃されました…。{nl}この状態では任務を遂行するどころか一人で帰ることも無理で絶望していたんです。{nl}
QUEST_LV_0200_20151014_009403	どうか僕が無事戻れるように助けてください。
QUEST_LV_0200_20151014_009404	とりあえずヒックスが生きて帰ってきたことだけでも女神に感謝しなくてはな。{nl}だが彼に任せた任務が問題だ。
QUEST_LV_0200_20151014_009405	さっきも言ったが…{nl}我が部隊の任務はここを丸ごと塞ぐ魔法陣を守ることだ。{nl}
QUEST_LV_0200_20151014_009406	その魔法陣の補修がヒックスの任務だったのだが、ケガをしたから任務が遂行できない。{nl}そのうえ皆寒さで疲れている…。あんたの力を貸してもらいたい。
QUEST_LV_0200_20151014_009407	ロヴィマ魔法陣の四つの神壇のうち一つだけ活性化させればいい。{nl}だがもしモンスターたちが下手にいじってどうにかなったら困るだろう？{nl}
QUEST_LV_0200_20151014_009408	だからどれを活性化するかは毎回変わってくるが、そんなに難しいことじゃない。{nl}どうだ、やってみるか？
QUEST_LV_0200_20151014_009409	ヒックスよりうまいじゃないか。{nl}せっかくだからもう一つだけ頼みたいことがある。{nl}
QUEST_LV_0200_20151014_009410	魔法陣はロヴィマだけじゃない。{nl}ネレス魔法陣にも部下たちを送ったんだが、どうやら魔力が底をついたようだ。{nl}
QUEST_LV_0200_20151014_009411	方法がないわけではないが、疲弊した部下たちには少々きつい…{nl}というわけで、今となってはあんたしか頼れる人がいないんだ。
QUEST_LV_0200_20151014_009412	魔法陣の近くでモンスターを倒してくれるだけでいい。{nl}生命力が魔力に置換されるんだ。あんたを信じてるよ。
QUEST_LV_0200_20151014_009413	俺たちにとって一番きついのはモンスターでも魔法陣の補修でもない。{nl}この極寒が最大の敵なんだ。
QUEST_LV_0200_20151014_009414	あんたの働きに王国を代表して礼を言うよ。{nl}これでしばらくは平和だろう。{nl}
QUEST_LV_0200_20151014_009415	もし旅の途中で王国の関係者に会ったら伝えてくれ。{nl}ここは俺たちが今も誠実に任務を遂行中だと。{nl}…女神の加護を祈ってるぜ。{nl}
QUEST_LV_0200_20151014_009416	補給も大切ですが、モンスターが次から次へと襲撃してきて…{nl}我々だけでは防ぐので精いっぱいです。{nl}
QUEST_LV_0200_20151014_009417	申し訳ありませんが、モンスターを阻止していただけませんか？
QUEST_LV_0200_20151014_009418	寒さと魔族の圧力で全員限界まで疲れているんです。{nl}いつまでここを守れるか…。
QUEST_LV_0200_20151014_009419	ご苦労様でした。{nl}おかげでモンスターの勢いも弱まったと思います。
QUEST_LV_0200_20151014_009420	ここは他の場所よりも寒さが心配です。{nl}食糧はまだ残っていますが、服の生地が不足しています。{nl}穴から冷たい風が入ってくるんですよ。{nl}
QUEST_LV_0200_20151014_009421	そこでお願いなのですが、ウズアリ十字路のトラフリアを狩ってくれませんか？{nl}毛皮がとても温かいので。
QUEST_LV_0200_20151014_009422	手に入るものはできるだけ自給自足です。{nl}いくらここが外地とは言え、王国の事情を知ってますから。
QUEST_LV_0200_20151014_009423	ありがとうございます。{nl}見ただけ温かくなりますね。
QUEST_LV_0200_20151014_009424	先ほどは助けてくださり本当にありがとうございました。{nl}戦っているところを見ましたが、本当にものすごい実力なんですね。{nl}
QUEST_LV_0200_20151014_009425	ああ、ちょっと頼みたいことがありまして…。{nl}僕の仲間はみんな疲弊しています。僕もこのザマですしね。{nl}
QUEST_LV_0200_20151014_009426	分かり切ったことですが、体を温めるには火を起こさなければならないですが、{nl}火打石が全部すれて使えなくなってしまいました。{nl}ティナガ石塚から使えそうな火打石を持ってきてもらえませんか？{nl}{nl}
QUEST_LV_0200_20151014_009427	まだ時間がかかりますか？何だか眠くなってきて…{nl}北の方の端にあるティナガ石塚に行ってみてください…。
QUEST_LV_0200_20151014_009428	ありがとうございます。{nl}あなたにはお世話になってばかりですね。
QUEST_LV_0200_20151014_009429	あの…もしかして野営地の方へ行かれますか？{nl}あ、私はメサパスラとストーガス分隊の連絡を担当するロチェスと申します。{nl}
QUEST_LV_0200_20151014_009430	書信を持って戻る途中、モンスターの群れに遭遇してしまいました。 {nl}少しだけ休めば回復しそうなのですが、この書信はちょっと急ぎのものでして…。{nl}
QUEST_LV_0200_20151014_009431	今信じられるのはあなたしかいないのです。{nl}この書信を分隊長アデス様に必ず届けてください。{nl}
QUEST_LV_0200_20151014_009432	あ、もしよろしければ途中でモンスターも退治してください。{nl}まだこの状態で戦うのはしんどいので…。
QUEST_LV_0200_20151014_009433	もう少しだけ休めば良くなると思います。{nl}モンスターと書信が心配ですが…。
QUEST_LV_0200_20151014_009434	ストーガス分隊長 アデス
QUEST_LV_0200_20151014_009435	メサパスラから書信を代わりに持ってきた？{nl}ではロチェスの身に何かあったのですか？{nl}
QUEST_LV_0200_20151014_009436	ああ…とりあえず無事でよかったです。{nl}ご苦労様でした。
QUEST_LV_0200_20151014_009437	外地の人が来たのは本当に久しぶりです。{nl}ここは王国から補給も断たれ、どうなっているのかまったく分かりませんから…。{nl}
QUEST_LV_0200_20151014_009438	どうにか自給自足で耐えてはいますが、私一人ではやはりきついです。{nl}よろしければ、一番切実な食糧問題だけでも助けていただけませんか？
QUEST_LV_0200_20151014_009439	この近くにいるサファイアバードというモンスターから肉を取ってきてください。{nl}かなりおいしいとホラス様が教えてくださいました。{nl}
QUEST_LV_0200_20151014_009440	サファイアバードがいなければ私は飢えていたでしょう。{nl}ここは寒すぎてジャガイモ以外は何も育たないんですよ。
QUEST_LV_0200_20151014_009441	ご苦労様でした。{nl}とりあえずこれを貯蔵しておきます。
QUEST_LV_0200_20151014_009442	私たちに足りないのは食糧だけではありません。{nl}長いこと補給がなかったので武器もボロボロなのです。{nl}
QUEST_LV_0200_20151014_009443	でも何もない環境でもどうにか間に合わせなければなりません。{nl}鉄びしくらいなら周辺に散らばった古い鉄窓の破片で作れます。{nl}
QUEST_LV_0200_20151014_009444	よろしければ、ヌバースク絶壁で使えそうなものを集めてきてくれませんか？
QUEST_LV_0200_20151014_009445	大昔にカレジマスへ移された鉄窓だそうです。{nl}カデュメル国王時代の暗い遺産です。{nl}
QUEST_LV_0200_20151014_009446	あれがすべてルクリスの反乱以降に移されたものなら分かるのですが…{nl}それ以前もとても多くの人々が強制的に閉じ込められて働かされていました。{nl}
QUEST_LV_0200_20151014_009447	クラペダ近郊に水晶鉱山がありますよね？{nl}実はあそこも強制労役場の一つだったそうです。{nl}オルシャ近隣のアシャーク監獄も同じです。
QUEST_LV_0200_20151014_009448	あの鉄窓の残骸を見ていると自然と鳥肌が立ちます。{nl}恨みのようなものを感じるというか…。
QUEST_LV_0200_20151014_009449	本当にご苦労様でした。{nl}私にとっては啓示者とかいう人々より、今目の前にいるあなたの存在が唯一の救いです。
QUEST_LV_0200_20151014_009450	軍人として、民間人に支援を要請するというのはお恥ずかしいですが…{nl}我々を助けてくださったホラスという方がテントで寝ています。{nl}
QUEST_LV_0200_20151014_009451	あの方は我が部隊を助けるために王国から派遣されました。{nl}神樹の日以降、王国からの連絡が途絶えても我々を見捨てずに苦楽を分かち合ってくださった{nl}高尚な方です。{nl}
QUEST_LV_0200_20151014_009452	代替食糧を探すと言って何を召し上がったのか…ご覧の通り寝込んでしまいました。{nl}何とか元気になってもらいたいのですが…状況が思わしくないので、あなたの力をぜひ貸していただきたいのです。
QUEST_LV_0200_20151014_009453	まずは熱を下げないといけません。{nl}以前ホラス様がウォーグの体液は解熱作用があるとおっしゃっていたので{nl}試してみましょう。
QUEST_LV_0200_20151014_009454	ホラス様のおっしゃった通り解熱作用があるといいのですが…。{nl}我々と苦労を分かち合った人が苦しんでいるのを見るのは辛いです。
QUEST_LV_0200_20151014_009455	持ってきてくれましたか。{nl}本来ならば我々がやるべきことなのに、人手が足りなくて…。{nl}とりあえず飲ませてみましょう。
QUEST_LV_0200_20151014_009456	どうやら薬の効果は確かだったようですね。{nl}今テントの外に出てきましたので声をかけてみてください。
QUEST_LV_0200_20151014_009457	ここは凍えるような寒さとモンスターの脅威に溢れています。{nl}そのうえ王国との連絡も途絶えており、補給も届かない状態です。{nl}
QUEST_LV_0200_20151014_009458	にもかかわらずここで任務を遂行している理由は、{nl}最後に魔族とモンスターを防げるほぼ唯一の要衝地だからです。{nl}
QUEST_LV_0200_20151014_009459	有事の際にこの道さえ遮断できれば、首都へ魔族やモンスターが大量に流入することは{nl}ありません。逆にここを放棄したら、奴らを防ぐ方法は何も残らないわけです。{nl}
QUEST_LV_0200_20151014_009460	王国の安全を我々が守っている、という信念のもとにここの守備を行っているのです。{nl}
QUEST_LV_0200_20151014_009461	もちろん我慢できずに離脱した兵士も大勢いますが………。{nl}ここだけは我々が最後まで死守するつもりです。
QUEST_LV_0200_20151014_009462	あなたが私のために解熱剤を手に入れてくれたそうですね？{nl}本当にありがとうございます。{nl}いやぁ参りました！
QUEST_LV_0200_20151014_009463	モンスターが美味しそうに食べていたので思い切って行ってみたんです。{nl}…人間も食べられると判断したのがそもそもの間違いでしたね。{nl}
QUEST_LV_0200_20151014_009464	でもこの部隊の食糧問題を解決するためにまだ試したいものがあるんです。{nl}ちょっと手伝っていただけません？{nl}
QUEST_LV_0200_20151014_009465	昔から飢饉の時は木の皮も煮て食べていたとかって言いますよね。{nl}これは本当に極限状態だからこそ食べられるものですが、ここもいつそんな状況になるか{nl}分かりません。なんならすぐになってもおかしくないですし。{nl}
QUEST_LV_0200_20151014_009466	小さな短刀を差し上げますので、アルモール第2労役場の向こう…らへんがいいかな。{nl}木の内皮をはがして集めてください。
QUEST_LV_0200_20151014_009467	その皮で様々なレシピを開発する予定なんです。{nl}肉ばかり食べていると歯茎から血が出て気力が落ちるんですよね。僕。
QUEST_LV_0200_20151014_009468	ご苦労様です！さすが早かったですね！{nl}とりあえず私の体が回復したら実験してみますよ！{nl}…まぁ正直、その前に王国から連絡が来ることを祈ります。
QUEST_LV_0200_20151014_009469	この要衝地を作っていた時代に労役管理所として使われていた建物があります。{nl}今は我が部隊が倉庫として使用しているんですけどね。{nl}
QUEST_LV_0200_20151014_009470	ところがいつからかスパルナスホーンが出没して近づくことすらできない状態です。{nl}もちろん我々全員でかかれば追い出すこともできますが…{nl}
QUEST_LV_0200_20151014_009471	それよりもっと急で重要な仕事が山積みなのが問題なんです。{nl}補給物資はすべてその倉庫の中にあるのに…。
QUEST_LV_0200_20151014_009472	みんな倉庫は諦めていたのですが、久々に元気の出る知らせとなりそうですね。{nl}
QUEST_LV_0200_20151014_009473	スパルナスホーンは非常に強く乱暴ですので、あまり無理をしないでください。{nl}我々は寒さや飢えなどには慣れていますから。
QUEST_LV_0200_20151014_009474	片付けたのですね！{nl}急いで仲間たちに知らせて倉庫に物資を取りに行きたいと思います。
QUEST_LV_0200_20151014_009475	代わりに遺品を集める
QUEST_LV_0200_20151014_009476	実験してみる
QUEST_LV_0200_20151014_009477	駆動核を手に入れて来る
QUEST_LV_0200_20151014_009478	カリス騎士団の味方だ
QUEST_LV_0200_20151014_009479	王国軍の味方だ
QUEST_LV_0200_20151014_009480	ガーゴイルを倒す
QUEST_LV_0200_20151014_009481	無茶です
QUEST_LV_0200_20151014_009482	盗掘師アマンダについて行き大地の要塞に入ってください
QUEST_LV_0200_20151014_009483	これでいい…
QUEST_LV_0200_20151014_009484	ベジオの絶壁へ行って来る
QUEST_LV_0200_20151014_009485	ユスタスに届ける
QUEST_LV_0200_20151014_009486	モノクルで見る
QUEST_LV_0200_20151014_009487	計画があるのか
QUEST_LV_0200_20151014_009488	爆音弾は危なくない？
QUEST_LV_0200_20151014_009489	爆弾を盗んでくる
QUEST_LV_0200_20151014_009490	設置してくる
QUEST_LV_0200_20151014_009491	耳を塞いで待つ
QUEST_LV_0200_20151014_009492	ちょっと他の用事がある
